Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Huaneng MLT-7525,176.8,-85.55,90,top
C1,10uF,C_0603_1608Metric,195.15,-119,90,top
C2,10uF,C_0603_1608Metric,183.295,-126.025,-90,top
C6,4.7uF,C_0603_1608Metric,200.2,-89.075,-90,top
C7,100nF,C_0603_1608Metric,198.5,-89.075,-90,top
C8,10uF,C_0603_1608Metric,179.045,-127.775,180,top
D1,RED,D_1206_3216Metric,192.05,-116.8,-90,top
D2,GREEN,D_1206_3216Metric,187,-116.7,-90,top
D3,YELLOW,D_1206_3216Metric,189.55,-116.8,-90,top
D4,40V_TVS,D_0402_1005Metric,196.025,-74.375,0,top
D5,1N4148W,D_SOD-123,172.95,-86.9,0,top
D6,YELLOW,D_1206_3216Metric,183.9,-74.6,90,top
D7,GREEN,D_1206_3216Metric,181.2,-74.6,90,top
D8,RED,D_1206_3216Metric,186.7,-74.6,90,top
D9,GREEN,D_1206_3216Metric,171.4,-126.5,0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,171.885139,-141.778404,0,top
J4,Micro_SD_Card,TF-01A,148.7,-83.1638,-90,top
J5,Conn_Coaxial_Small,U.FL_Hirose_U.FL-R-SMT-1_Vertical,199,-72.6,90,top
Q1,PMOS,SOT-23,168.8,-86.65,90,top
Q2,PMOS,SOT-23,154.9625,-135.225,0,top
Q3,PMOS,SOT-23,197.6625,-108.43,0,top
R1,5.1k,R_0402_1005Metric,169.385139,-136.353404,180,top
R2,5.1k,R_0402_1005Metric,175.885139,-136.353404,0,top
R3,10k,R_0402_1005Metric,197,-122,0,top
R4,2k,R_0402_1005Metric,195.4,-124,0,top
R5,1k,R_0402_1005Metric,191.85,-113.8,0,top
R6,1k,R_0402_1005Metric,187.21,-113.7,0,top
R7,1k,R_0402_1005Metric,189.555,-113.8,180,top
R8,100k,R_0402_1005Metric,187.25,-133.79,90,top
R9,270k,R_0402_1005Metric,188.5,-133.79,-90,top
R10,5.1k,R_0402_1005Metric,141.8,-137.4,-90,top
R11,33,R_0402_1005Metric,194.215361,-88.11,90,top
R12,33,R_0402_1005Metric,193.115361,-88.1,90,top
R13,33,R_0402_1005Metric,202.4,-85.86,90,top
R14,10k,R_0402_1005Metric,141.9,-127.6,180,top
R15,33,R_0402_1005Metric,166.45,-88.51,90,top
R16,68,R_0402_1005Metric,186.695,-77.8,0,top
R17,68,R_0402_1005Metric,183.9,-77.8,0,top
R18,15,R_0402_1005Metric,181.105,-77.8,0,top
R19,15,R_0402_1005Metric,170.01,-128.3,0,top
SW1,SW_Push,Korean Hroparts Elec K2-1157SP-I4SW-01,145.8,-141.9,0,top
SW2,SW_Push,Korean Hroparts Elec K2-1157SP-I4SW-01,159.935139,-100.3,0,top
SW3,SW_Push,Korean Hroparts Elec K2-1157SP-I4SW-01,171.885139,-100.3,0,top
SW4,SW_Push,Korean Hroparts Elec K2-1157SP-I4SW-01,183.835139,-100.3,0,top
SW5,SW_Push,Korean Hroparts Elec K2-1157SP-I4SW-01,145.8,-131.55,0,top
SW6,SW_Push,Korean Hroparts Elec K2-1157SP-I4SW-01,171.885139,-115.95,0,top
U1,MCP73833-xxx-UN,MSOP-10_3x3mm_P0.5mm,192.6,-122,0,top
U2,ESD122DMXR,IC_ESD122DMXR,171.445139,-136.293404,-90,top
U3,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,147.06,-115.35,90,top
U4,MAX-M10S,ublox_MAX,196.5,-81.1,90,top
U5,AP2112K-3.3,SOT-23-5,180,-125,180,top
